housenumber,street,city,district,postcode,country
26,Siedlisko,Zamość County,gmina Grabowiec,22-425,Poland
9,Sadków Duchowny,Grójec County,gmina Belsk Duży,05-622,Poland
7,Wrzosowa,Tartak Brzózki,gmina Radziejowice,96-325,Poland
63,Aleja Pod Lasem,Celinów-Kolonia,gmina Dębe Wielkie,05-300,Poland
25,Nowe Gałki,Płock County,gmina Mała Wieś,09-460,Poland
410B,Trawniki,Świdnik County,gmina Trawniki,21-044,Poland
Grzęda,Brzyska Wola,Leżajsk County,gmina Kuryłówka,37-304,Poland
Glinianki,Skierbieszów,Zamość County,gmina Skierbieszów,22-420,Poland
6,Księcia Janusza,Wólka Radzymińska,gmina Nieporęt,05-126,Poland
86,Studzianek,Rawa County,gmina Biała Rawska,96-200,Poland
29A,Nuna,Nowy Dwór Mazowiecki County,gmina Nasielsk,05-190,Poland
135,Nowowiejska,Pilaszków,gmina Ożarów Mazowiecki,05-860,Poland
22,Kobylniki,Płock County,gmina Wyszogród,09-450,Poland
8,Benenard,Żyrardów County,gmina Radziejowice,96-300,Poland
Juliopol-Bór,Juliopol,Sochaczew County,gmina Młodzieszyn,96-512,Poland
