housenumber,street,city,district,postcode,country
,"Лубенькино, Udomelsky District",Udomelsky District,,171861,Russia
,"Батайский проезд, Maryino District",Maryino District,,109144,Russia
,"Марьинское поле, Филимонковское шоссе",Central Federal District,,142780,Russia
,"СХТ, Roshchino",Vyborgsky District,,188820,Russia
,"Кропоткинский проезд, Mytishchi Urban Okrug",Moscow Oblast,,140152,Russia
3-й Западный проезд,"Оздоровительный комплекс ""Озеро Долгое"" ОАО Международный аэропорт Шереметьево",Dmitrovsky District,,141895,Russia
,"Котово поле, Vsevolozhsk",Vsevolozhsky District,,188640,Russia
,"Восточная улица, Талицы",Moscow Oblast,,143532,Russia
,"Поповка, Ramensky District",Ramensky District,,140124,Russia
46Н-05822,Dubrovki,Moscow Oblast,,141425,Russia
,"Юбилейная улица, Chuchkovo",Chuchkovsky District,,391420,Russia
,"Гостиничная улица, Marfino District",Marfino District,,127106,Russia
,"Устиновка — Аксеново — Электроугли, Лужки",Ramensky District,,140163,Russia
,"Углешня, Chekhovsky District",Chekhovsky District,,142301,Russia
,"Юго-западный (5-й) микрорайон, Elektrostal",Moscow Oblast,,144010,Russia
